FECHA_INSCRIPCION,FECHA_NACIMIENTO,GENERO,DESCRIPCION_SUBTIPO
25FEB2022:21:45:30,31JUL2003:00:00:00,Masculino,Adopción Plena
18APR2022:08:33:05,13AUG2005:00:00:00,Femenino,Adopción Plena
31MAY2022:10:23:12,22JAN2017:00:00:00,Femenino,Adopción Plena
09MAY2022:12:56:05,11SEP2016:00:00:00,Femenino,Adopción Plena
21JUN2022:12:17:19,22FEB2017:00:00:00,Femenino,Adopción Plena
01APR2022:09:37:33,05AUG2020:00:00:00,Femenino,Adopción Plena
22JUN2022:12:15:59,19JAN2000:00:00:00,Femenino,Adopción Plena
26APR2022:09:37:18,30APR2012:00:00:00,Masculino,Adopción Plena
25MAR2022:13:06:58,23JUL2015:00:00:00,Femenino,Adopción Plena
23JUN2022:12:47:50,12MAY2020:00:00:00,Masculino,Adopción Plena
13MAY2022:11:56:12,24SEP2018:00:00:00,Femenino,Adopción Plena
19APR2022:11:58:32,05AUG2013:00:00:00,Masculino,Adopción Plena
11MAR2022:13:33:06,30JUN2016:00:00:00,Masculino,Adopción Plena
28MAR2022:09:50:54,18FEB2013:00:00:00,Masculino,Adopción Plena
12MAY2022:13:08:45,27SEP2006:00:00:00,Femenino,Adopción Plena
20APR2022:12:09:15,08OCT1977:00:00:00,Femenino,Adopción Plena
06MAY2022:12:35:52,30SEP2010:00:00:00,Femenino,Adopción Plena
15MAR2022:11:32:46,17DEC1997:00:00:00,Masculino,Adopción Plena
15JUN2022:00:05:10,04MAR2015:00:00:00,Masculino,Adopción Plena
07APR2022:13:06:42,01OCT2008:00:00:00,Femenino,Adopción Plena
07APR2022:13:13:13,23OCT2010:00:00:00,Femenino,Adopción Plena
20MAY2022:15:11:04,07OCT2014:00:00:00,Masculino,Adopción Plena
23MAY2022:12:46:42,29MAR2012:00:00:00,Masculino,Adopción Plena
08APR2022:10:22:57,27NOV2018:00:00:00,Femenino,Adopción Plena
09MAY2022:13:42:41,05MAR2016:00:00:00,Femenino,Adopción Plena
24MAY2022:12:44:36,01MAY2002:00:00:00,Femenino,Adopción Plena
16MAY2022:15:27:19,29APR2019:00:00:00,Masculino,Adopción Plena
05APR2022:12:50:50,16MAR2009:00:00:00,Masculino,Adopción Plena
10MAY2022:13:25:01,18OCT2007:00:00:00,Masculino,Adopción Plena
04APR2022:13:34:25,21APR2005:00:00:00,Masculino,Adopción Plena
10MAY2022:14:01:07,17JUN2013:00:00:00,Masculino,Adopción Plena
03MAR2022:09:34:49,02JUN2008:00:00:00,Femenino,Adopción Plena
08MAR2022:07:54:13,08MAR1967:00:00:00,Masculino,Adopción Plena
15MAR2022:07:19:40,09OCT1997:00:00:00,Femenino,Adopción Plena
31MAR2022:00:40:00,22APR2000:00:00:00,Masculino,Adopción Plena
27APR2022:23:14:03,25SEP2012:00:00:00,Femenino,Adopción Plena
16JUN2022:13:58:11,16JUN2011:00:00:00,Femenino,Adopción Simple
15MAR2022:09:14:33,27DEC2019:00:00:00,Femenino,Adopción Plena
28MAR2022:13:50:50,04APR2014:00:00:00,Masculino,Adopción Plena
07MAR2022:10:41:00,13NOV1969:00:00:00,Masculino,Adopción Plena
14MAR2022:12:15:10,29DEC2020:00:00:00,Femenino,Adopción Plena
05MAY2022:14:22:40,12APR2011:00:00:00,Femenino,Adopción Plena
07MAR2022:10:53:05,08JAN1971:00:00:00,Masculino,Adopción Plena
22JUN2022:11:50:56,25SEP2011:00:00:00,Femenino,Adopción Plena
08MAR2022:07:39:40,20MAR2017:00:00:00,Femenino,Adopción Plena
03MAY2022:11:42:25,06SEP2018:00:00:00,Femenino,Adopción Plena
06MAY2022:12:22:15,07MAY2009:00:00:00,Femenino,Adopción Plena
